"filename", "language", "pip requirements", "Python", "TypeScript", "Ignore", "Docker", "TypeScript JSX", "SCSS", "CSS", "JSON", "HTML", "JSON with Comments", "Properties", "comment", "blank", "total"
"d:\pd22\only-frontend\src\components\Header\HeaderLinks\HeaderLeftLinks\HeaderLeftLinks.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"d:\pd22\only-frontend\src\components\NavLink\NavLink.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"d:\pd22\only-frontend\src\components\NavLink\NavLink.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"d:\pd22\only-frontend\src\components\OnTrendArticleItem\OnTrendArticleItem.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 17, 147
"d:\pd22\only-frontend\src\components\OnTrendArticleItem\OnTrendArticleItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 3, 46
"d:\pd22\only-frontend\src\components\PrivateRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 6, 23
"d:\pd22\only-frontend\src\components\SearchBarArticle\SearchBarArticle.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 4, 40
"d:\pd22\only-frontend\src\components\SearchBarArticle\SearchBarArticle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"d:\pd22\only-frontend\src\components\SearchBar\SearchBar.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 12, 101
"d:\pd22\only-frontend\src\components\SearchBar\SearchBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 6, 91
"d:\pd22\only-frontend\src\components\SearchButton\SearchButton.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
